ks	count
KP_20300163142895	1
KP_20300158675483	1
KP_20300160580703	1
KP_20300164143817	1
KP_20300158766291	1
KP_20300157390090	1
KP_20300164518634	1
KP_20300155274177	1
KP_20300068539012	1
KP_20300156586088	1
KP_20300155841923	1
KP_20300156005981	1
KP_20300164287451	1
KP_20300165801043	1
KP_20300158107262	1
KP_20300157097229	1
KP_20300155218928	1
KP_20300155752573	1
KP_20300164930927	1
KP_20300158062122	1
KP_20300164016069	1
KP_20300161751632	1
KP_20300164900435	1
KP_20300155813476	1
KP_20300162710825	1
KP_20300160330867	1
KP_20300155507548	1
KP_20300159786754	1
KP_20300162570071	1
KP_20300161113735	1
KP_20300163288784	1
KP_20300159127019	1
KP_20300163203635	1
KP_20300159269329	1
KP_20300157191249	1
KP_20300154157847	1
KP_20300162846517	1
KP_20300159388777	1
KP_20300154421751	1
KP_20300155745402	1
KP_20300162910185	1
KP_20300159207858	1
KP_20300158092177	1
KP_20300164876379	1
KP_20300158184071	1
KP_20300162919768	1
KP_20300164926123	1
KP_20300163613863	1
KP_20300161468798	1
KP_20300159945576	1
KP_20300164523339	1
KP_20300164644711	1
KP_20300162757597	1
KP_20300160856889	1
KP_20300163742344	1
KP_20300162767720	1
KP_20300163697223	1
KP_20300159739983	1
KP_20300162344639	1
KP_20300160896748	1
KP_20300082512144	1
KP_20300163233264	1
KP_20300163156628	1
KP_20300162054246	1
KP_20300161102983	1
KP_20300160239054	1
KP_20300163092105	1
KP_20300161552832	1
KP_20300154941540	1
KP_20300161278135	1
KP_20300156320713	1
KP_20300157944745	1
KP_20300157553753	1
KP_20300165476373	1
KP_20300161419134	1
KP_20300158091496	1
KP_20300163304606	1
KP_20300163632483	1
KP_20300163854531	1
KP_20300160698202	1
KP_20300156081066	1
KP_20300154960245	1
KP_20300164821988	1
KP_20300164790653	1
KP_20300166082523	1
KP_20300162993439	1
KP_20300164368126	1
KP_20300158613668	1
KP_20300162944136	1
KP_20300163616247	1
KP_20300161125315	1
KP_20300162523559	1
KP_20300164766912	1
KP_20300162872035	1
KP_20300160466631	1
KP_20300158470087	1
KP_20300157795461	1
KP_20300163141729	1
KP_20300164388893	1
KP_20300164628818	1
KP_20300164566864	1
KP_20300164218903	1
KP_20300162867111	1
KP_20300156613335	1
KP_20300166083855	1
KP_20300165057638	1
KP_20300163706247	1
KP_20300155327160	1
KP_20300162572018	1
KP_20300160262250	1
KP_20300165122768	1
KP_20300162119122	1
KP_20300160000657	1
KP_20300163231387	1
KP_20300155732640	1
KP_20300156740233	1
KP_20300165245570	1
KP_20300163993075	1
KP_20300163880449	1
KP_20300162625780	1
KP_20300155912159	1
KP_20300164320661	1
KP_20300164565243	1
KP_20300161203697	1
KP_20300160785613	1
KP_20300155169682	1
KP_20300164882773	1
KP_20300068535333	1
KP_20300160933301	1
KP_20300165251996	1
KP_20300161943395	1
KP_20300163125865	1
KP_20300162991638	1
KP_20300160343929	1
KP_20300158150410	1
KP_20300157037114	1
KP_20300159088786	1
KP_20300154720666	1
KP_20300156340336	1
KP_20300159506363	1
KP_20300164786777	1
KP_20300159878414	1
KP_20300154758951	1
KP_20300161862811	1
KP_20300164528192	1
KP_20300155316503	1
KP_20300163355274	1
KP_20300163524803	1
KP_20300164796328	1
KP_20300162655842	1
KP_20300162704548	1
KP_20300165704060	1
KP_20300164712345	1
KP_20300164428089	1
KP_20300154777054	1
KP_20300154096540	1
KP_20300163379927	1
KP_20300159073444	1
KP_20300155978180	1
KP_20300163919795	1
KP_20300163319423	1
KP_20300157011188	1
KP_20300164884682	1
KP_20300163504798	1
KP_20300157975965	1
KP_20300160234975	1
KP_20300157614827	1
KP_20300156516134	1
KP_20300160539056	1
KP_20300155231120	1
KP_20300158128309	1
KP_20300155134124	1
KP_20300162730062	1
KP_20300156203032	1
KP_20300161828484	1
KP_20300162514417	1
KP_20300162828684	1
KP_20300156445350	1
KP_20300156151918	1
KP_20300158737647	1
KP_20300161304823	1
KP_20300159087588	1
KP_20300160980587	1
KP_20300163751964	1
KP_20300165163824	1
KP_20300068594374	1
KP_20300155785310	1
KP_20300155179492	1
KP_20300159294608	1
KP_20300159437302	1
KP_20300158165726	1
KP_20300164487814	1
KP_20300160384513	1
KP_20300158347136	1
KP_20300163486505	1
KP_20300161060272	1
KP_20300158691176	1
KP_20300154090701	1
KP_20300161504798	1
KP_20300164049476	1
KP_20300161803580	1
KP_20300157325108	1
KP_20300163312660	1
KP_20300156027414	1
KP_20300160999297	1
KP_20300155162831	1
KP_20300158742750	1
KP_20300159788859	1
KP_20300163294030	1
KP_20300163738392	1
KP_20300161380440	1
KP_20300162155354	1
KP_20300155344023	1
KP_20300068555978	1
KP_20300159936785	1
KP_20300156190615	1
KP_20300157620853	1
KP_20300157218838	1
KP_20300163769902	1
KP_20300161972077	1
KP_20300162171129	1
KP_20300159992125	1
KP_20300159805368	1
KP_20300160020937	1
KP_20300155246846	1
KP_20300162749253	1
KP_20300162111252	1
KP_20300164618527	1
KP_20300162266244	1
KP_20300163725077	1
KP_20300157900799	1
KP_20300163283519	1
KP_20300156549032	1
KP_20300155631990	1
KP_20300165733967	1
KP_20300154179018	1
KP_20300164971759	1
KP_20300160966272	1
KP_20300162593258	1
KP_20300162989702	1
KP_20300165240711	1
KP_20300164325172	1
KP_20300166081149	1
KP_20300162353311	1
KP_20300163652737	1
KP_20300160071371	1
KP_20300082517012	1
KP_20300160220903	1
KP_20300163582050	1
KP_20300158161938	1
KP_20300156461837	1
KP_20300165726306	1
KP_20300068521218	1
KP_20300163097437	1
KP_20300156170575	1
KP_20300164464880	1
KP_20300163480948	1
KP_20300163722554	1
KP_20300159381212	1
KP_20300165507585	1
KP_20300164804634	1
KP_20300165924509	1
KP_20300156566960	1
KP_20300159835538	1
KP_20300155773776	1
KP_20300158670867	1
KP_20300163670647	1
KP_20300160360269	1
KP_20300163043263	1
KP_20300162851538	1
